title,distance,id_x,address.locality,address.postal-code,address.street-address,location.latitude_x,location.longitude_x,key,mercator_x,id_y,name,address,dock_bikes,free_bases,location.longitude_y,location.latitude_y,mercator_y,point_of_interest_google_maps,BiciMad_google_maps,url_google_maps
Colegio Público Adolfo Suárez,3796.3942398964855,176850,MADRID,28050,CALLE INFANTA CATALINA MICAELA 31,40.48860266655876,-3.6525544243312855,1,POINT (4507170.6317725 -406876.1792826843),257,Manuel Caldeiro,Paseo de la Castellana nº 298,9,15,-3.68532,40.47938,POINT (4506143.969227422 -410531.1174823334),Colegio+Público+Adolfo+Suárez,Manuel+Caldeiro,https://www.google.com/maps/dir/Colegio+Público+Adolfo+Suárez/Bicimad+Manuel+Caldeiro
Colegio Público Agustina Díez,1932.1238565239294,5075,MADRID,28038,CALLE VESUBIO 5,40.3881909372302,-3.647236724917086,1,POINT (4495992.849193973 -406283.0125532473),234,Sierra Toledana,Camino de Valderribas nº 94,10,14,-3.6607768678037744,40.39901531507069,POINT (4497197.81342333 -407793.364764792),Colegio+Público+Agustina+Díez,Sierra+Toledana,https://www.google.com/maps/dir/Colegio+Público+Agustina+Díez/Bicimad+Sierra+Toledana
Colegio Público Agustín Rodriguez Sahagún,3856.153930695459,4693138,MADRID,28031,CALLE LA GRANJA DE SAN ILDEFONSO 17,40.36803998494376,-3.6221677428793977,1,POINT (4493749.655446447 -403486.7215186193),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Agustín+Rodriguez+Sahagún,Pavones,https://www.google.com/maps/dir/Colegio+Público+Agustín+Rodriguez+Sahagún/Bicimad+Pavones
Colegio Público Alberto Alcocer,3253.4711167218056,5076,MADRID,28022,AVENIDA CANILLEJAS A VICALVARO 56,40.43333782278732,-3.6120521748962555,1,POINT (4501018.577505093 -402358.4139760713),223,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,13,10,-3.640994,40.429706,POINT (4500614.284841758 -405586.6676448087),Colegio+Público+Alberto+Alcocer,Gutierre+de+Cetina,https://www.google.com/maps/dir/Colegio+Público+Alberto+Alcocer/Bicimad+Gutierre+de+Cetina
Colegio Público Alcalde de Móstoles,6261.761114560321,5077,MADRID,28044,CALLE ALDEANUEVA DE LA VERA 9,40.37983690289588,-3.7764479299262628,1,POINT (4495062.882345807 -420696.9779405064),232,Caramuel,Calle Caramuel nº 51,5,18,-3.728533714316331,40.40913630273305,POINT (4498324.476616229 -415351.7319152079),Colegio+Público+Alcalde+de+Móstoles,Caramuel,https://www.google.com/maps/dir/Colegio+Público+Alcalde+de+Móstoles/Bicimad+Caramuel
Colegio Público Alfonso X El Sabio,3460.1728042128807,5078,MADRID,28032,CALLE FUENTE DE SAN PEDRO 6,40.403201384467415,-3.6036948781029365,1,POINT (4497663.804536998 -401426.2364602285),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Alfonso+X+El+Sabio,Pavones,https://www.google.com/maps/dir/Colegio+Público+Alfonso+X+El+Sabio/Bicimad+Pavones
Colegio Público Alfredo di Stefano,3253.4711167218056,10770379,MADRID,28022,calle felix candela 4,40.43333782278732,-3.6120521748962555,1,POINT (4501018.577505093 -402358.4139760713),223,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,13,10,-3.640994,40.429706,POINT (4500614.284841758 -405586.6676448087),Colegio+Público+Alfredo+di+Stefano,Gutierre+de+Cetina,https://www.google.com/maps/dir/Colegio+Público+Alfredo+di+Stefano/Bicimad+Gutierre+de+Cetina
Colegio Público Alhambra,3619.2484908882893,5079,MADRID,28035,CALLE RAMON GOMEZ DE LA SERNA 103,40.48349348726197,-3.726718327962491,1,POINT (4506601.880534809 -415149.2155845246),269,Facultad Derecho,Avenida Complutense nº 23,9,15,-3.72937,40.45109,POINT (4502994.74083288 -415445.0243226733),Colegio+Público+Alhambra,Facultad+Derecho,https://www.google.com/maps/dir/Colegio+Público+Alhambra/Bicimad+Facultad+Derecho
Colegio Público Amadeo Vives,3267.146947373068,5080,MADRID,28047,CALLE LOS YEBENES 6,40.39743593771221,-3.755392529137971,1,POINT (4497021.997940013 -418348.0293760306),232,Caramuel,Calle Caramuel nº 51,5,18,-3.728533714316331,40.40913630273305,POINT (4498324.476616229 -415351.7319152079),Colegio+Público+Amadeo+Vives,Caramuel,https://www.google.com/maps/dir/Colegio+Público+Amadeo+Vives/Bicimad+Caramuel
Colegio Público Amador de los Ríos,318.4255085840301,5081,MADRID,28028,PASEO MARQUES DE ZAFRA 16,40.426279629183625,-3.6665578263940595,1,POINT (4500232.86298721 -408438.2159888388),191,Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135,11,12,-3.669339,40.425635,POINT (4500161.103194738 -408748.4503143113),Colegio+Público+Amador+de+los+Ríos,Doctor+Esquerdo-Hermosilla,https://www.google.com/maps/dir/Colegio+Público+Amador+de+los+Ríos/Bicimad+Doctor+Esquerdo-Hermosilla
