Place of interest,Place address,BiciMAD station,Station location,Distance,Available Bikes,URL google maps
Colegio Público Adolfo Suárez,CALLE INFANTA CATALINA MICAELA 31,Manuel Caldeiro,Paseo de la Castellana nº 298,3796.3942398964855,9,https://www.google.com/maps/dir/Colegio+Público+Adolfo+Suárez/Bicimad+Manuel+Caldeiro
Colegio Público Agustina Díez,CALLE VESUBIO 5,Sierra Toledana,Camino de Valderribas nº 94,1932.1238565239294,10,https://www.google.com/maps/dir/Colegio+Público+Agustina+Díez/Bicimad+Sierra+Toledana
Colegio Público Agustín Rodriguez Sahagún,CALLE LA GRANJA DE SAN ILDEFONSO 17,Pavones,Calle Hacienda de Pavones nº 342,3856.153930695459,11,https://www.google.com/maps/dir/Colegio+Público+Agustín+Rodriguez+Sahagún/Bicimad+Pavones
Colegio Público Alberto Alcocer,AVENIDA CANILLEJAS A VICALVARO 56,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3253.4711167218056,13,https://www.google.com/maps/dir/Colegio+Público+Alberto+Alcocer/Bicimad+Gutierre+de+Cetina
Colegio Público Alcalde de Móstoles,CALLE ALDEANUEVA DE LA VERA 9,Caramuel,Calle Caramuel nº 51,6261.761114560321,5,https://www.google.com/maps/dir/Colegio+Público+Alcalde+de+Móstoles/Bicimad+Caramuel
Colegio Público Alfonso X El Sabio,CALLE FUENTE DE SAN PEDRO 6,Pavones,Calle Hacienda de Pavones nº 342,3460.1728042128807,11,https://www.google.com/maps/dir/Colegio+Público+Alfonso+X+El+Sabio/Bicimad+Pavones
Colegio Público Alfredo di Stefano,calle felix candela 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3253.4711167218056,13,https://www.google.com/maps/dir/Colegio+Público+Alfredo+di+Stefano/Bicimad+Gutierre+de+Cetina
Colegio Público Alhambra,CALLE RAMON GOMEZ DE LA SERNA 103,Facultad Derecho,Avenida Complutense nº 23,3619.2484908882893,9,https://www.google.com/maps/dir/Colegio+Público+Alhambra/Bicimad+Facultad+Derecho
Colegio Público Amadeo Vives,CALLE LOS YEBENES 6,Caramuel,Calle Caramuel nº 51,3267.146947373068,5,https://www.google.com/maps/dir/Colegio+Público+Amadeo+Vives/Bicimad+Caramuel
Colegio Público Amador de los Ríos,PASEO MARQUES DE ZAFRA 16,Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135,318.4255085840301,11,https://www.google.com/maps/dir/Colegio+Público+Amador+de+los+Ríos/Bicimad+Doctor+Esquerdo-Hermosilla
Colegio Público Amós Acero,CALLE RODRIGUEZ ESPINOSA 54,Concordia,Calle Arroyo del Olivar nº 6,468.28926332620364,2,https://www.google.com/maps/dir/Colegio+Público+Amós+Acero/Bicimad+Concordia
Colegio Público Angel Nieto,AVENIDA LAS SUERTES 109,Pavones,Calle Hacienda de Pavones nº 342,6818.125902220048,11,https://www.google.com/maps/dir/Colegio+Público+Angel+Nieto/Bicimad+Pavones
Colegio Público Antonio Fontan,AVENIDA SANTUARIO DE VALVERDE 71,Pedro Rico,Calle Pedro Rico nº 4,3446.5490646603603,2,https://www.google.com/maps/dir/Colegio+Público+Antonio+Fontan/Bicimad+Pedro+Rico
Colegio Público Antonio Machado,CALLE ALLARIZ 3,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5419.609347934054,4,https://www.google.com/maps/dir/Colegio+Público+Antonio+Machado/Bicimad+Marqués+de+Vadillo
Colegio Público Antonio Moreno Rosales,CALLE OLMO 4,Jesús y María,Calle Lavapiés nº 34,200.38835371517627,5,https://www.google.com/maps/dir/Colegio+Público+Antonio+Moreno+Rosales/Bicimad+Jesús+y+María
Colegio Público Antonio de Nebrija,CALLE JUAN JOSE MARTINEZ SECO 77,Embajadores 191,Calle Sodio nº 1B,4188.4015413986135,8,https://www.google.com/maps/dir/Colegio+Público+Antonio+de+Nebrija/Bicimad+Embajadores+191
Colegio Público Aragón,AVENIDA RAFAEL ALBERTI 2,Pavones,Calle Hacienda de Pavones nº 342,935.5004197648864,11,https://www.google.com/maps/dir/Colegio+Público+Aragón/Bicimad+Pavones
Colegio Público Aravaca,CALLE ESTUDIO 6,Facultad Derecho,Avenida Complutense nº 23,6372.656651466712,9,https://www.google.com/maps/dir/Colegio+Público+Aravaca/Bicimad+Facultad+Derecho
